image,class,L_mean,L_variance,L_skewness,a_mean,a_variance,a_skewness,b_mean,b_variance,b_skewness,contrast,correlation,entropy
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,Apple___Apple_scab,117.03423055,819.852547469,0.0668301552916,112.933625614,159.560693613,1.34030777936,138.90614,176.610944532,-1.04917217759,0.684637822071,0.963314890715,4.72546330425
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,Apple___Apple_scab,91.959104975,662.768144307,-0.114682348872,115.315448703,38.6406968291,1.19208679346,135.558509879,70.829533033,-0.211472770095,0.853537254902,0.927177713843,4.37627195353
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,Apple___Apple_scab,115.972708698,1617.89789792,2.26061220562,113.354604495,123.793512803,1.06230075638,133.129341798,148.78584659,-1.02407648047,1.28721645521,0.956652052365,3.66998943915
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,Apple___Apple_scab,98.7164175586,1800.54943153,-0.288444887279,125.677471828,49.0180699722,-0.16994853411,139.860766656,181.037523878,-0.435489946563,4.90821078431,0.837243158452,5.48220497925
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\023123cb-7b69-4c9f-a521-766d7c8543bb___FREC_Scab 3487.JPG,Apple___Apple_scab,91.3332564914,545.010762522,-0.743395738066,117.483056353,55.6385680378,1.93775111323,131.786302576,66.5183043226,-1.18261642369,0.73924029863,0.931646142041,4.53211103369
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0261a6e4-21f8-481a-8827-b674e6955644___FREC_Scab 3055.JPG,Apple___Apple_scab,76.1112512504,1734.21177834,-0.588146202668,112.653981647,141.670642282,0.476957408061,149.22087157,203.890697331,-0.700242608142,1.24941405233,0.958475602488,4.66086816379
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\029424b0-0ef5-491b-9ef5-069190d24d8f___FREC_Scab 3504.JPG,Apple___Apple_scab,74.3374958689,652.542085396,-0.133833819842,124.442377603,103.855763272,0.198598519163,126.467777725,111.607396171,-0.264569650354,1.99569461827,0.823791219249,4.99620623627
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\03354abb-aa1c-4f9d-a1ef-9f40505cd539___FREC_Scab 3355.JPG,Apple___Apple_scab,122.184786095,532.578194552,-0.236514892489,112.979133261,82.2416700674,1.23216553608,148.014388643,79.2175254194,-1.29552817124,0.76124567474,0.934712426856,4.68052313486
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0340dc35-5215-48ab-8db7-06af99fcb358___FREC_Scab 2966.JPG,Apple___Apple_scab,95.2353077494,1514.89508447,0.138256239025,114.846403411,173.2408686,0.614640063668,142.957730812,258.876225922,-0.905740216754,5.02679806362,0.637619889076,3.78543773863
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0395b847-2c73-4674-826f-33a6afb5b4fe___FREC_Scab 3287.JPG,Apple___Apple_scab,66.448939384,647.787880106,0.410802931036,112.298548631,28.5698297711,1.89106012232,144.331811913,30.4243790838,-1.74973570993,3.31731269511,0.69673779613,4.91570906969
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\03eccb1a-0368-4ac7-9f48-7546037b775a___FREC_Scab 3334.JPG,Apple___Apple_scab,103.114712243,1107.20536207,-0.025546963917,110.475970203,48.4600437391,2.28009079562,140.486603388,67.3474415809,-1.38708321195,1.85841226443,0.908833025815,5.04123741929
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0537ad56-3d24-4e97-a947-65b9b37f8988___FREC_Scab 3079.JPG,Apple___Apple_scab,133.024858757,648.166676455,-1.78543559061,105.035907094,56.2278381132,1.23622040668,157.024136849,59.4581430874,-0.912553372047,1.44430629708,0.865427135118,4.12562232119
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\058d5e64-2c57-45ba-94cb-ac83fd1885a0___FREC_Scab 3181.JPG,Apple___Apple_scab,107.516807605,557.417268321,-0.393957347347,111.19255213,130.577871941,0.797269440107,145.146042334,149.268681616,-0.648690585775,0.539554893687,0.941026262877,3.78806198552
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0631708e-5bac-4611-8ff9-6d5ee87ce3b3___FREC_Scab 3252.JPG,Apple___Apple_scab,66.2624538158,1839.97375612,0.189334734853,114.696012231,117.016097828,0.577418891361,143.685437635,168.788764453,-0.702299899804,5.27185293402,0.772775648987,4.89278450007
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0672ab32-9fce-41f3-ae69-e39c48a0a292___FREC_Scab 3347.JPG,Apple___Apple_scab,69.1212002257,653.612386734,0.214117801022,118.237002871,25.9435352259,2.11127600335,141.692926716,23.8857840176,-1.92541104465,3.35913419913,0.703497373992,5.31824241996
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\06cf74b6-d895-4a09-b3b1-bc63579f8c33___FREC_Scab 3128.JPG,Apple___Apple_scab,99.8433533112,429.001929447,-0.311125483516,108.379927782,29.3204205435,1.86575184979,137.825857127,49.3176994245,-0.121298267418,1.97466426693,0.644549187587,3.68529466705
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\073b509f-c1ea-4e61-881b-2e874c5f4199___FREC_Scab 3286.JPG,Apple___Apple_scab,88.7054155561,1186.17369977,-1.00888057519,115.174097407,67.60919821,1.07823200435,136.896080688,48.4282909147,-1.09777270014,2.10315082645,0.865337081165,4.39342910513
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\075b1885-250b-4b3e-8168-e54efdbb04e8___FREC_Scab 3173.JPG,Apple___Apple_scab,101.579324463,461.714225186,-0.0924537162471,118.445730052,66.7315013928,1.01315706451,133.51875751,108.103148223,0.116280689198,1.29752192982,0.785686004316,3.60537290837
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0812e1e4-6d1b-4264-8f23-6519354fc5a6___FREC_Scab 3293.JPG,Apple___Apple_scab,85.1750078856,1037.98051723,-0.464857365601,116.415913153,129.767322211,0.867849527845,136.835164546,143.307362971,-0.789754758502,2.44128345916,0.842934029715,5.05910686462
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0896ecbc-1af2-4868-8279-ed302acb29bc___FREC_Scab 3339.JPG,Apple___Apple_scab,104.982587129,995.777359747,-0.136247204482,108.660035652,82.0912343801,2.12984342858,146.638334151,97.7381879191,-1.64137256759,3.61655328798,0.803717351153,5.36710929817
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\08c42d78-aa7b-4106-b0c1-b260f898dcba___FREC_Scab 3151.JPG,Apple___Apple_scab,101.6457843,250.869754829,-0.0442262969386,113.635862292,11.2566925752,1.64819279126,137.856823111,31.6330376899,0.434937455086,1.2845013947,0.771836689493,4.37047773969
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\095c9131-a0cb-47de-898a-f9371f208c01___FREC_Scab 3109.JPG,Apple___Apple_scab,64.8759138192,1604.56529245,1.0125001246,124.191749058,127.752546653,-0.657704039771,134.891726514,231.038677806,0.214271306605,3.60848164238,0.838143845337,3.95913925043
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\09ba6ad9-aa8d-4493-b1bf-818a4b30c4aa___FREC_Scab 2981.JPG,Apple___Apple_scab,70.4443577655,1758.35238846,0.424882944272,117.854628091,155.033372995,0.319624224282,137.047722416,233.294232424,-0.627326569946,4.65626662234,0.76819600571,4.37324967666
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\09e40e4f-f8bc-4537-b20d-0b244760dbf4___FREC_Scab 3216.JPG,Apple___Apple_scab,71.470532106,1510.66650928,0.0673282843573,114.359003143,94.8165590422,0.475361668205,144.550235743,109.665864336,-0.487897078815,2.68663754247,0.811640543962,3.71280990792
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0a14783a-838a-4d4f-a671-ff98011714c6___FREC_Scab 3288.JPG,Apple___Apple_scab,59.4029740217,772.834442413,0.245677230099,113.698006458,45.7358386159,1.457282509,141.027400101,48.0228577537,-1.61361751422,2.71576528809,0.743687895928,4.67341214295
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0a5e9323-dbad-432d-ac58-d291718345d9___FREC_Scab 3417.JPG,Apple___Apple_scab,127.670258672,353.733049524,-0.273618684444,105.731990851,120.131241199,1.59558063704,158.845504492,170.998036866,-1.12879011541,0.627611111111,0.919495455295,4.20551092572
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0a6812de-7416-4ffe-aba9-307599a02c84___FREC_Scab 2973.JPG,Apple___Apple_scab,107.474248985,2411.62996782,-0.260275444611,110.483043326,202.133153829,0.71579537528,148.170373558,328.439708563,-0.607322490012,4.93172613308,0.856403868888,5.13756339145
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0a769a71-052a-4f19-a4d8-b0f0cb75541c___FREC_Scab 3165.JPG,Apple___Apple_scab,95.4825363276,1819.86015737,-0.16573694335,111.965812417,187.306360932,0.790336664073,144.057754293,307.707047533,-0.849733178398,3.65368505481,0.753099423708,3.34136388544
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0b170906-9436-4c0d-84c1-c396ad9d909b___FREC_Scab 3101.JPG,Apple___Apple_scab,98.6482879647,1638.58968068,-0.492162904577,112.769783292,130.000014184,0.696744115375,148.02395625,172.575886123,-0.808281972105,2.15030870769,0.877078131927,3.61363263928
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0b1e31fa-cbc0-41ed-9139-c794e6855e82___FREC_Scab 3089.JPG,Apple___Apple_scab,102.445449096,1110.08177292,-0.698975383404,108.218278549,49.2621007033,1.65489501219,151.990258767,62.0856279578,-1.82267936581,7.45748917749,0.634656763468,5.86529443116
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0b4a52e3-e15e-4117-b2e8-7cdb5dca3ce9___FREC_Scab 3137.JPG,Apple___Apple_scab,86.6225053557,2084.06157943,-0.376829217278,115.937610403,165.213230852,0.157700586508,144.52166723,257.516565522,-0.575075234056,3.32654908798,0.839829133718,3.85477868129
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0c620ec5-11cf-4120-94ab-1311e99df147___FREC_Scab 3131.JPG,Apple___Apple_scab,100.450207565,465.686773481,-0.11763947973,124.625784133,227.582932964,0.709558840755,134.895410517,216.794204029,-0.0464099955044,0.704922644163,0.928611707691,4.2800565215
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0cbfa4fa-63d8-43ce-9385-ff140e524b69___FREC_Scab 3164.JPG,Apple___Apple_scab,89.1143576826,613.93683236,-0.048705416419,115.566426772,129.646738977,0.882904607136,135.593810723,171.128065327,-0.964510842401,1.44789546716,0.848718770532,4.35739754315
C:\Users\gauth\OneDrive\Desktop\Plant Disease Project\dataset\color\Apple___Apple_scab\0d3c0790-7833-470b-ac6e-94d0a3bf3e7c___FREC_Scab 2959.JPG,Apple___Apple_scab,78.7321826281,1203.69460645,-0.283514496478,111.627765405,101.813408741,1.1833427754,144.511989607,138.896255655,-1.17995868596,2.88704893722,0.760957565832,3.87963385929
